timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1541874451693951,0,1,-2,-1,1,0,-1,-1
1541874451693951,-1,-3,1,0,0,0,0,-3
1541874451734993,-2,1,0,-2,-1,-2,-1,-8
1541874451734993,-3,-1,-2,-1,-1,0,0,2
1541874451744000,1,-1,1,0,-2,-2,2,1
1541874451744000,-5,-5,-6,-2,0,-2,-3,-5
1541874451745001,-3,-4,-3,-3,-3,-2,-4,-2
1541874451745001,-3,-1,-1,-2,-5,-4,-2,0
1541874451745989,1,3,-1,-1,-2,-4,-2,-4
1541874451745989,-3,-4,-1,-1,1,-1,-1,-2
1541874451751005,-3,-1,-2,0,0,0,0,-3
1541874451751005,4,1,0,-3,0,-2,1,5
1541874451752000,5,12,2,-1,-2,-2,-1,4
1541874451752000,0,43,-1,-3,-2,-2,-3,-3
1541874451752997,-15,15,-5,-4,-3,-2,-1,-4
1541874451752997,5,-11,-7,0,1,0,-2,3
1541874451764051,-9,-79,-5,-2,1,2,4,1
1541874451764051,23,90,8,2,1,-2,-2,-5
1541874451789015,1,-42,-10,-5,-3,2,3,-5
1541874451789015,-16,-10,0,7,2,0,-1,-8
1541874451790036,-12,-36,-5,-9,-3,-6,-6,15
1541874451790036,2,-100,-7,-4,-2,1,5,-17
1541874451811089,27,78,14,-1,2,2,2,3
